ssd_mean,ssd_std,sigma_min,sigma_max,lr,weight_decay
-4.0,0.8333333333333335,0.00028396298390325614,1.1813604128656474,0.0002,0.0001
-4.0,0.6666666666666667,0.0006533919798673801,0.5134171190325924,0.0002,0.0001
-4.0,0.5,0.0015034391929775724,0.22313016014842982,0.0002,0.0001
-3.5,2.0,1.3709590863840845e-06,665.1416330443618,0.0002,0.0001
-3.5,1.8333333333333333,3.1545438051702337e-06,289.0693621245519,0.0002,0.0001
-3.5,1.6666666666666667,7.258529242462012e-06,125.62902691361425,0.0002,0.0001
-3.5,1.5,1.670170079024566e-05,54.598150033144236,0.0002,0.0001
-3.5,1.3333333333333335,3.843021085526086e-05,23.72825819220519,0.0002,0.0001
-3.5,1.1666666666666667,8.842698865988302e-05,10.312258501325772,0.0002,0.0001
-3.5,1.0,0.00020346836901064417,4.4816890703380645,0.0002,0.0001
-3.5,0.8333333333333335,0.0004681758116527765,1.9477340410546782,0.0002,0.0001
-3.5,0.6666666666666667,0.0010772612553122194,0.8464817248906146,0.0002,0.0001
-3.5,0.5,0.0024787521766663585,0.36787944117144233,0.0002,0.0001
-3.0,2.0,2.2603294069810542e-06,1096.6331584284585,0.0002,0.0001
-3.0,1.8333333333333333,5.200963470939485e-06,476.5948060424667,0.0002,0.0001
-3.0,1.6666666666666667,1.1967291556046007e-05,207.1272488898347,0.0002,0.0001
-3.0,1.5,2.7536449349747158e-05,90.01713130052181,0.0002,0.0001
-3.0,1.3333333333333335,6.336070607455954e-05,39.12128399815326,0.0002,0.0001
-3.0,1.1666666666666667,0.00014579145710750816,17.002039940094026,0.0002,0.0001
-3.0,1.0,0.00033546262790251185,7.38905609893065,0.0002,0.0001
-3.0,0.8333333333333335,0.0007718914190992295,3.2112705431535646,0.0002,0.0001
-3.0,0.6666666666666667,0.0017761035457343776,1.3956124250860904,0.0002,0.0001
-3.0,0.5,0.004086771438464067,0.6065306597126334,0.0002,0.0001
-2.5,2.0,3.726653172078671e-06,1808.0424144560632,0.0002,0.0001
-2.5,1.8333333333333333,8.574939102672297e-06,785.7719942274168,0.0002,0.0001
-2.5,1.6666666666666667,1.9730728141123086e-05,341.49510098626996,0.0002,0.0001
-2.5,1.5,4.5399929762484854e-05,148.4131591025766,0.0002,0.0001
-2.5,1.3333333333333335,0.00010446414383170514,64.50009306485583,0.0002,0.0001
-2.5,1.1666666666666667,0.00024036947641951407,28.03162489452615,0.0002,0.0001
-2.5,1.0,0.0005530843701478336,12.182493960703473,0.0002,0.0001
-2.5,0.8333333333333335,0.0012726338013398068,5.294490050470036,0.0002,0.0001
-2.5,0.6666666666666667,0.002928299694818186,2.3009758908928264,0.0002,0.0001
-2.5,0.5,0.006737946999085467,1.0,0.0002,0.0001
-2.0,2.0,6.14421235332821e-06,2980.9579870417283,0.0002,0.0001
-2.0,1.8333333333333333,1.4137684493534087e-05,1295.5190008032005,0.0002,0.0001
-2.0,1.6666666666666667,3.2530471172671234e-05,563.0302368359517,0.0002,0.0001
-2.0,1.5,7.48518298877006e-05,244.69193226422038,0.0002,0.0001
